riscv64-linux-gnu-gcc -Wall -Werror -O -fno-omit-frame-pointer -ggdb -gdwarf-2 -MD -mcmodel=medany -ffreestanding -fno-common -nostdlib -mno-relax -I. -fno-stack-protector -D MLFQ -fno-pie -no-pie   -c -o kernel/proc.o kernel/proc.c
riscv64-linux-gnu-ld -z max-page-size=4096 -T kernel/kernel.ld -o kernel/kernel kernel/entry.o kernel/start.o kernel/console.o kernel/printf.o kernel/uart.o kernel/kalloc.o kernel/spinlock.o kernel/string.o kernel/main.o kernel/vm.o kernel/proc.o kernel/swtch.o kernel/trampoline.o kernel/trap.o kernel/syscall.o kernel/sysproc.o kernel/bio.o kernel/fs.o kernel/log.o kernel/sleeplock.o kernel/file.o kernel/pipe.o kernel/exec.o kernel/sysfile.o kernel/kernelvec.o kernel/plic.o kernel/virtio_disk.o 
riscv64-linux-gnu-objdump -S kernel/kernel > kernel/kernel.asm
riscv64-linux-gnu-objdump -t kernel/kernel | sed '1,/SYMBOL TABLE/d; s/ .* / /; /^$/d' > kernel/kernel.sym
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

GRAPH 7 135 2 3
GRAPH 8 135 2 3
GRAPH 9 135 2 3
GRAPH 10 135 2 3
GRAPH 11 135 1 4
GRAPH 12 135 1 3
GRAPH 13 135 1 3
GRAPH 4 136 2 3
GRAPH 5 136 2 3
GRAPH 6 136 2 3
GRAPH 7 136 2 3
GRAPH 8 136 2 3
GRAPH 9 136 2 3
GRAPH 10 136 2 3
GRAPH 11 136 2 3
GRAPH 12 136 1 4
GRAPH 13 136 1 3
GRAPH 4 137 2 3
GRAPH 5 137 2 3
GRAPH 6 137 2 3
GRAPH 7 137 2 3
GRAPH 8 137 2 3
GRAPH 9 137 2 3
GRAPH 10 137 2 3
GRAPH 11 137 2 3
GRAPH 12 137 2 3
GRAPH 13 137 1 4
GRAPH 9 138 2 4
GRAPH 10 138 2 3
GRAPH 11 138 2 3
GRAPH 12 138 2 3
GRAPH 13 138 2 3
GRAPH 4 139 3 3
GRAPH 5 139 3 3
GRAPH 6 139 3 3
GRAPH 7 139 3 3
GRAPH 8 139 3 3
GRAPH 9 139 3 3
GRAPH 10 139 2 4
GRAPH 11 139 2 3
GRAPH 12 139 2 3
GRAPH 13 139 2 3
GRAPH 4 140 3 3
GRAPH 5 140 3 3
GRAPH 6 140 3 3
GRAPH 7 140 3 3
GRAPH 8 140 3 3
GRAPH 9 140 3 3
GRAPH 10 140 3 3
GRAPH 11 140 2 4
GRAPH 12 140 2 3
GRAPH 13 140 2 3
GRAPH 4 141 3 3
GRAPH 5 141 3 3
GRAPH 6 141 3 3
GRAPH 7 141 3 3
GRAPH 8 141 3 3
GRAPH 9 141 3 3
GRAPH 10 141 3 3
GRAPH 11 141 3 3
GRAPH 12 141 2 4
GRAPH 13 141 2 3
GRAPH 4 142 3 3
GRAPH 5 142 3 3
GRAPH 6 142 3 3
GRAPH 7 142 3 3
GRAPH 8 142 3 3
GRAPH 9 142 3 3
GRAPH 10 142 3 3
GRAPH 11 142 3 3
GRAPH 12 142 3 3
GRAPH 13 142 2 4
GRAPH 9 143 3 4
GRAPH 10 143 3 3
GRAPH 11 143 3 3
GRAPH 12 143 3 3
GRAPH 13 143 3 3
GRAPH 4 144 3 3
GRAPH 5 144 3 3
GRAPH 6 144 3 3
GRAPH 7 144 3 3
GRAPH 8 144 3 3
GRAPH 9 144 3 3
GRAPH 10 144 3 4
GRAPH 11 144 3 3
GRAPH 12 144 3 3
GRAPH 13 144 3 3
GRAPH 4 145 3 3
GRAPH 5 145 3 3
GRAPH 6 145 3 3
GRAPH 7 145 3 3
GRAPH 8 145 3 3
GRAPH 9 145 3 3
GRAPH 10 145 3 3
GRAPH 11 145 3 4
GRAPH 12 145 3 3
GRAPH 13 145 3 3
GRAPH 4 146 3 3
GRAPH 5 146 3 3
GRAPH 6 146 3 3
GRAPH 7 146 3 3
GRAPH 8 146 3 3
GRAPH 9 146 3 3
GRAPH 10 146 3 3
GRAPH 11 146 3 3
GRAPH 12 146 3 4
GRAPH 13 146 3 3
GRAPH 4 147 3 3
GRAPH 5 147 3 3
GRAPH 6 147 3 3
GRAPH 7 147 3 3
GRAPH 8 147 3 3
GRAPH 9 147 3 3
GRAPH 10 147 3 3
GRAPH 11 147 3 3
GRAPH 12 147 3 3
GRAPH 13 147 3 4
GRAPH 9 148 3 4
GRAPH 10 148 3 3
GRAPH 11 148 3 3
GRAPH 12 148 3 3
GRAPH 13 148 3 3
GRAPH 4 149 3 3
GRAPH 5 149 3 3
GRAPH 6 149 3 3
GRAPH 7 149 3 3
GRAPH 8 149 3 3
GRAPH 9 149 3 3
GRAPH 10 149 3 4
GRAPH 11 149 3 3
GRAPH 12 149 3 3
GRAPH 13 149 3 3
GRAPH 4 150 3 3
GRAPH 5 150 3 3
GRAPH 6 150 3 3
GRAPH 7 150 3 3
GRAPH 8 150 3 3
GRAPH 9 150 3 3
GRAPH 10 150 3 3
GRAPH 11 150 3 4
GRAPH 12 150 3 3
GRAPH 13 150 3 3
GRAPH 4 151 3 3
GRAPH 5 151 3 3
GRAPH 6 151 3 3
GRAPH 7 151 3 3
GRAPH 8 151 3 3
GRAPH 9 151 3 3
GRAPH 10 151 3 3
GRAPH 11 151 3 3
GRAPH 12 151 3 4
GRAPH 13 151 3 3
GRAPH 4 152 3 3
GRAPH 5 152 3 3
GRAPH 6 152 3 3
GRAPH 7 152 3 3
GRAPH 8 152 3 3
GRAPH 9 152 3 3
GRAPH 10 152 3 3
GRAPH 11 152 3 3
GRAPH 12 152 3 3
GRAPH 13 152 3 4
GRAPH 9 153 0 4
GRAPH 10 153 0 3
GRAPH 11 153 0 3
GRAPH 12 153 0 3
GRAPH 13 153 0 3
GRAPH 4 154 1 3
GRAPH 5 154 1 3
GRAPH 6 154 1 3
GRAPH 7 154 1 3
GRAPH 8 154 1 3
GRAPH 9 154 1 3
GRAPH 10 154 0 4
GRAPH 11 154 0 3
GRAPH 12 154 0 3
GRAPH 13 154 0 3
GRAPH 4 155 1 3
GRAPH 5 155 1 3
GRAPH 6 155 1 3
GRAPH 7 155 1 3
GRAPH 8 155 1 3
GRAPH 9 155 1 3
GRAPH 10 155 1 3
GRAPH 11 155 0 4
